"city","id","host_is_superhost","host_since","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","maximum_nights","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","cancellation_policy","reviews_per_month","zipcode","gdp","text","word_count","sd","ave_sentiment","doc_id","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X"
"New York",10675373,FALSE,2016-03-03,89,TRUE,FALSE,"Kips Bay",TRUE,"Apartment","Entire home/apt",3,1,1,1,"Real Bed",133,1,0,30,365,TRUE,6,87,9,"strict_14_with_grace_period",0.33,10016,65877818,"charming meets modern.  this 1 bedroom apartment offers all of the comforts of home,  and features a full kitchen with quartz counters,  and stainless steel appliances.  theres a beautiful bedroom,  and charming living room.  the building offers video intercom security and a laundry facility.,tv,wifi, air conditioning ,kitchen, pets allowed ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , hot water , bed linens , extra pillows and blankets , long term stays allowed ,other.",82,0.356015737092488,0.492355698979476,"doc1",12,3,0,1,5,7,0,46,1,0,0,0,29,0,0,7,0
"New York",5509112,TRUE,2015-06-30,2,TRUE,TRUE,"Washington Heights",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",75,2,50,3,30,TRUE,100,96,10,"strict_14_with_grace_period",2.33,10032,65877818,"air conditioned room! large manhattan apartment right near the river in the most beautiful part of washington heightsaudubon terrace.  just blocks from subway  times square is just a 20 minute ride.  plenty of dining  shopping within walking distance.  clean and secure at all times.  private bedroom for 2 with amazing bed and roomdarkening curtains.  two blocks from broadway,  in walking distance to columbia university  new york city college.  big living room,  fine art,  multiple couches,  and lots of plants.  the quiet cool comfortable room is yours during your stay.  private room with a queensized memoryfoam mattress,  100 cotton sheets and towels.  it will be cleaned before and after your visit.  you will have 24hour access with your key.  the apartment is arty and comfy,  large by nyc standards,  with room to breathe,  a sense of calm,  and a natural vibe.  you may well wake up to birdsong,  as unlikely as that sounds.  the furnishings are a mix of rustic and elegant.  there are trees on the str,internet,wifi, air conditioning ,kitchen, buzzerwireless intercom ,heating, smoke detector , carbon monoxide detector , first aid kit , fire extinguisher ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , hot water , bed linens , extra pillows and blankets , coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove,other.",218,0.218862912921674,0.233505259209334,"doc2",28,24,7,8,10,12,1,98,7,1,9,1,53,2,0,13,1
"Queens",466948,FALSE,2011-11-22,1,TRUE,FALSE,"Ridgewood",TRUE,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",110,2,20,3,60,TRUE,100,89,10,"strict_14_with_grace_period",1.68,11385,25466516,"a mere 20 minutes outside of manhattan,  you can stay in a dynamic and energetic neighborhood of cafes,  bars,  great restaurants and culture.  we have a private,  romantic and spacious one bedroom basement apartment,  with private bathroom.  one bedroom,  fully furnished fabulous basement in a safe,  vibrant neighborhood.  a queen bed in the bedroom and a  sofa bed  in the living room.  comfortable dining area.  private entrance,  washerdryer,  wifi.  four blocks from the jefferson stop on the l train.   there is not kitchen,  but it has a mini fridge,  a coffee maker,  toaster,  a hot plate and kitchen utensils.  we live upstairs,  but we have our own entrance and living area.  we keep to ourselves,  but are always accessible and available to help.  a lively,  bustling neighborhood with many nearby supermarkets,  and 24hour groceries.  a short walk to two excellent trains the l and m lines.,internet,wifi, air conditioning , wheelchair accessible ,kitchen,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, laptop friendly workspace , translation missing en.hostingamenity50 , private entrance , hot water , bed linens , extra pillows and blankets , paid parking on premises .",187,0.364718384209276,0.281592312309605,"doc3",30,14,5,3,13,16,0,75,7,2,12,0,50,0,0,11,0
"New York",20913962,FALSE,2013-06-14,1,TRUE,TRUE,"Upper West Side",TRUE,"Apartment","Private room",1,1,2,1,"Real Bed",90,1,0,3,1125,TRUE,7,96,10,"strict_14_with_grace_period",1.02,10024,65877818,"my lovely bedroom is a min walk to river side park,  15 min walk to central park and 5 min walk to the 1 train.  you will get to anywhere in the city within 20 min! lots a great bars and restaurants nearby,tv,wifi, air conditioning ,kitchen,elevator,heating, smoke detector ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace .",57,0.10581126966576,0.127058640228515,"doc4",5,5,1,3,2,4,0,31,4,1,3,0,17,0,0,3,0
"New York",13024401,FALSE,2015-12-20,3,TRUE,FALSE,"East Village",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",85,1,20,1,1125,TRUE,170,91,10,"flexible",7.36,10009,65877818,"private bedroom 60sq ft within shared apartment.  center of manhattan and five minutes from williamsburg.  relaxed,  safe space.  amazing rooftop access,  full kitchen and cable.  great for women.  respectable,  conscious host! understand that these older east village buildings do not provide a ton of space,  so dont expect a sprawling amount.  technically accommodates two but best for one.  roof access means top floor of the walkup building no elevator.  feel free to message me with any questions! this is a nice,  clean,  relaxed but small space perfect for travelers after a long day in the city.   this bedroom includes full closet space that is located in the living room.  95 of the time i will be hosting from my own private room in the space and greeting guests.  if not,  ill be nearby to help with anything anytime.  5th floor walkup,  no elevator the charm of a classic old east village building full bathroom,  living room with video games,  basic cable,  netflix,  hulu,  rooftop and full kitchen,tv,wifi, air conditioning ,kitchen, paid parking off premises , smoking allowed ,breakfast, free street parking ,heating, smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, hair dryer , translation missing en.hostingamenity49 , self checkin ,keypad, hot water .",202,0.324499095966496,0.189369013361631,"doc5",34,19,2,8,6,16,0,86,6,5,6,0,47,2,0,15,0
"New York",28629527,FALSE,2016-11-04,6,TRUE,FALSE,"Harlem",TRUE,"Apartment","Private room",1,2,1,1,"Real Bed",45,1,20,60,1125,TRUE,5,88,10,"strict_14_with_grace_period",0.18,10027,65877818,"close proximity to whole foods market and many popular restaurants.  its a 15 minute walk to columbia university,  night life and shopping!  all major trains are near were a 10 minute ride from 42nd st time square.  youll love this loft because of the convenience.  great for solo adventurers,  and business travelers.  the room has no window but is properly ventilated with an air vent heating unit.  all rooms are fully equipped with a personal refrigerator,  and an ample amount of storage space.  guest will also have access to a small kitchen area for meal prep.  please note for all guest staying for 60 days or more i require a 1000 cash security or credit deposit upon check in.  this full deposit will be given back at the completion of your booking if you stay the full term of your original booking and there are no damages to the room or the loft .  also please note if you book this room and plan to have overnight visitors, i do charge 20 a night per visitor.  this 20 per night payment must be,wifi, air conditioning ,kitchen,heating, lock on bedroom door ,hangers, hair dryer , laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , hot water , bed linens .",203,0.301195730885782,0.152015100486084,"doc6",17,21,7,12,10,23,2,82,8,1,8,0,28,2,0,16,0
"New York",8664437,TRUE,2013-11-03,3,TRUE,FALSE,"Harlem",TRUE,"Apartment","Entire home/apt",4,1,1,3,"Real Bed",177,3,36,3,90,TRUE,73,98,10,"strict_14_with_grace_period",2.53,10030,65877818,"this apartment was recently renovated and has all the things you need to have a very comfortable stay in new york.  there is plenty of space to relax and be very comfortable.  enjoy the peace and tranquility of a brownstone apartment to add to the charm of new york.  harlem is one of the best gems in manhattan.  easy access to the best restaurants,  shopping,  and schools in the city without the crowds and high hotel prices in the rest of manhattan.  this harlem treat offers  free wifi,   cable tv  beds 2 queen,  2 twin daybed  bathrooms 1 full bathroom  living room   fully equipped kitchen with dishwasher  hair dryer,  bedding,  linens and towels are all provided.  no need for you to pack towels.  we have fresh bedding and towels provided for you! the fully equipped kitchen is stocked with potspans,  dishescups,  and eating utensils for your use if you choose to dine in your home away from home.   includes a refrigerator,  dishwasher,  microwave,  coffee maker,  toaster oven,  and a full cookin,tv, cable tv ,internet,wifi, air conditioning ,kitchen, free parking on premises , buzzerwireless intercom ,heating, familykid friendly , smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity50 , self checkin ,keypad, window guards , pack n playtravel crib , roomdarkening shades .",218,0.255315863070251,0.292022029487784,"doc7",20,19,7,5,10,17,0,100,7,5,8,0,49,2,0,22,0
"New York",2932748,FALSE,2014-06-09,1,TRUE,FALSE,"Lower East Side",TRUE,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",125,1,0,5,1125,TRUE,12,89,9,"flexible",0.22,10002,65877818,"i have a charming studio in the heart of the lower east side,  on orchard street between rivington and stanton.  it is a rare gem of the lower east side  elevator,  central air,  clean,  renovated,  finished roof deck.   the space is awesome.  perfect for young folks.  full size comfy bed,  couch,  table,  desk,  tv,  wifi,   central air that you control.  everything is finished,  renovated,  and clean.   guests will have access to the finished roof deck  washerdryer in the basement.   i will be out of town,  so there will be no interaction.   this is the best neighborhood for young people in new york city.  within  a 10 block radius there are the best restaurants,  bars,  nightlife,   art galleries in manhattan.  less than a 5 minute walk to the f,  m,  j,  z,  6,   d trains.  convenient walk to soho,  the east village,  union square,  nolita,  little italy,  chinatown,   union square.,tv, cable tv ,internet,wifi, air conditioning ,kitchen,elevator,heating,washer,dryer, smoke detector , first aid kit , fire extinguisher .",165,0.18182135143699,0.281124292820522,"doc8",27,17,3,8,2,15,1,68,3,0,11,3,53,0,0,9,0
"New York",9297435,FALSE,2013-09-06,1,TRUE,TRUE,"Alphabet City",TRUE,"Apartment","Private room",2,1,1,1,"Real Bed",80,1,15,2,1125,TRUE,3,93,10,"flexible",0.09,10009,65877818,"going back to la for a week so my room is available.    my two great hidden by airbnb will be here when you are,  both working but also young  fun loving.  out spot in e village is surrounded by restaurants  bars and walking distance  to the l,  f and 6,wifi,kitchen, smoking allowed ,doorman,gym,elevator,heating,washer,dryer,essentials,shampoo, lock on bedroom door , 24hour checkin ,hangers, hair dryer ,iron, translation missing en.hostingamenity49 , translation missing en.hostingamenity50 .",79,0.604256004021729,0.374922030025401,"doc9",7,7,6,4,4,2,0,34,5,0,3,1,23,0,0,7,0
"Queens",7511530,TRUE,2015-11-22,6,TRUE,TRUE,"Astoria",TRUE,"Apartment","Entire home/apt",8,2,3,4,"Real Bed",239,5,25,3,1125,TRUE,7,100,10,"strict_14_with_grace_period",0.19,11103,25466516,"3 bedrooms available 2 queen beds1 fullsize bed1 fullsize pullout sofa bed in the common area.  2 full bathrooms.  10 mins from lga and 15 mins from midtown nyc.  my apartment is definitely a unique find in nyc! you will find plenty of room in my elegant and comfortable home.  come relax in my fully updated 2 story apartment in one of the hottest neighborhoods in nyc.  with brick walls,  beautiful hardwood floors and elegant furnishings,  i hope you will enjoy a taste of life in the big city.  you will have full access to 3 private bedrooms with two queensize beds,  and a fullsize bed.  the fullsize pullout sofa bed is in the common area.  2 full bathrooms.  i will give you the wifi password upon arrival.  feel free to enjoy our television with full cable and help yourself to use of the kitchen for light cooking.  i will greet you upon checkin and provide a key to access the main entrance to the building and the apartment.  i will be in the area by the apartment in case you need me.  i w,tv, cable tv ,internet,wifi, air conditioning ,kitchen, buzzerwireless intercom ,heating, familykid friendly , smoke detector , carbon monoxide detector , first aid kit , fire extinguisher ,essentials,shampoo, 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , self checkin , building staff , hot water , bed linens , extra pillows and blankets .",223,0.221328920355563,0.271363436515988,"doc10",26,26,2,10,8,16,0,93,13,3,18,0,42,0,0,16,0
