"city","id","host_is_superhost","host_since","host_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","maximum_nights","has_availability","number_of_reviews","review_scores_rating","review_scores_accuracy","cancellation_policy","reviews_per_month","gdp","text","word_count","sd","ave_sentiment","doc_id","ADJ","ADP","ADV","AUX","CCONJ","DET","INTJ","NOUN","NUM","PART","PRON","PROPN","PUNCT","SCONJ","SYM","VERB","X"
"New York",8004245,FALSE,2014-05-30,1,TRUE,TRUE,"Hamilton Heights",TRUE,"Apartment","Private room",3,1,1,2,"Real Bed",55,1,5,3,27,TRUE,45,92,10,"moderate",1.67,65877818,"lovely room overlooking jackie robinson park to the east.  spectacular sunrises over a cityscape every morning.  private room,  not shared with anyone.  the bed is a bunk bed with a single bed on top and a very comfortable double futon on the bottom.  i have slept on it,  it doesnt feel like a futon mattress at all!  if you are a party of two and you need both beds available to you,  there is a small extra charge for this service.  shared big kitchen,  bathroom,  living room with your hosts,  kt  pete.  we are tidy but we arent freaks about it.  we think we are pretty nice.  my mom says im pretty funny.   this apartment has 2 lovely friendly and very large pups so you must enjoy puppy cuddles on the sofa.  thats is a requirement.  you wont be asked to care for the dogs.  just be okay with their presence and their likely excitement over seeing you when you come in.  we also have a cat called sir patrick checkerston esq iii.  he has a very fancy name but he is a super laid back cat.  i guess youd,tv,internet,wifi, air conditioning ,kitchen, pets live on this property ,dogs,cats, buzzerwireless intercom ,heating, smoke detector , carbon monoxide detector , first aid kit , safety card , fire extinguisher ,essentials, lock on bedroom door , 24hour checkin ,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 ,bathtub, roomdarkening shades ,microwave, coffee maker ,refrigerator, dishes and silverware , cooking basics ,oven,stove, luggage dropoff allowed , cleaning before checkout .",259,0.356568138746139,0.276700994059036,"doc1",28,19,14,14,7,21,0,99,5,4,27,0,58,2,0,25,0
"New York",4045188,TRUE,2011-12-16,2,TRUE,TRUE,"East Harlem",TRUE,"Apartment","Private room",2,1.5,1,1,"Real Bed",105,1,15,2,14,TRUE,86,98,10,"strict_14_with_grace_period",2.3,65877818,"private room in a 2 bedroom apt,  in between 2 subway lines easy access to east and west side of manhattan and 15 mins away from times square,  citi bike station one block away.  the apt is located 2 blocks from central park and grocery store is around the corner.  you will be staying in a brand new building,  bright,  quiet,  modern,  individual thermostat for each room,  large closet,  well equipped kitchen,  high speed internet and elevator on site.  complementary coffee available any time of the day.  high speed internet  large closet  individual thermostat for each room modern bath and full  kitchen   bedroom fully furnished towels bed sheets spanish harlem or el barrio,  is a neighborhood of upper manhattan,  new york city roughly encompassing the area north of the upper east side and east 96th street up to about the 140s,  also east of fifth avenue to the east and harlem rivers.  despite its name,  it is generally not considered to be a part of harlem.  east harlem has historically suffer,internet,wifi, air conditioning ,kitchen,elevator, free street parking , buzzerwireless intercom ,heating,washer, smoke detector ,essentials,shampoo,hangers, hair dryer ,iron, translation missing en.hostingamenity49 , translation missing en.hostingamenity50 , self checkin ,keypad, hot water .",201,0.303427781164306,0.174401282455539,"doc2",30,21,13,7,8,14,0,90,7,3,3,0,40,0,0,9,0
"Queens",20166634,FALSE,2018-05-09,1,TRUE,FALSE,"Flushing",TRUE,"House","Private room",2,1,1,2,"Real Bed",80,4,5,1,1125,TRUE,9,100,10,"moderate",1.14,25466516,"this place is for people trying to save some cash when visiting new york city.  three beds upon request,  shared refrigerator,  closets and a bathroom.  very close to buses that will take you the train straight into the city.  if you want to experience the traffic,  the highway to manhattanbrooklyn is right down the block 3080  min drive.  if you need any tips on how to get around or want my personal favorite sites,  just ask ill give you the rundown.  youll be staying in the basement of a one family home.  youll have your own private room,  bathroom with shower and walking space in between.  oh,  private entrance too so if you never wanna see my face after the first encounter you dont need to.  if youre driving we got loads of street parking.  if you need anything you let me know.  the whole family is consistently going to the train station so one of us can drop you off if youre an early bird.  the neighborhood is very quiet and everyone is friendly.  highway down the block that will take you,wifi, pets allowed , free street parking ,heating,essentials,shampoo, lock on bedroom door ,hangers, laptop friendly workspace , private entrance , hot water , luggage dropoff allowed .",206,0.194558516009691,0.188844174371826,"doc3",16,16,13,12,4,18,2,56,4,7,24,0,31,7,0,31,0
"New York",19756836,FALSE,2018-04-15,1,TRUE,FALSE,"Hell's Kitchen",FALSE,"Apartment","Entire home/apt",4,1,2,3,"Real Bed",300,2,25,1,1125,TRUE,47,91,9,"strict_14_with_grace_period",6,65877818,"my one bedroom apartment is close to hells kitchen,  time square,  theater distract, totto ramen,  intrepid sea,  air  space museum,  ippudo westside,  empanada mama.  youll love my place because of the location,  the ambiance,  the people and ,  the neighborhood.  my place is good for couples,  solo adventurers,  business travelers,  and families with kids.  the apartment is fully furnished and well appointed.  the kitchen includes brand new modern appliances including a stainless steel gas stoveoven and microwave.  also included are all necessary cookware,  coffee maker,  toaster,  plates,  glasses,  utensils,  coffee and tea.  professionally cleaned before every stay with clean bed linens and towels.  the home also comes with additional linens,  towels,  washcloths,  body wash,  shampoo,  etc.  pretty much all the basics! there are tvs to enjoy with ruku which includes basic cable,  netflix,  hulu,  etc where to sleep families are welcomed! the apartment accommodates up to 4 people.  bedroom  1 queen s,tv,wifi, air conditioning ,kitchen,breakfast,heating, familykid friendly , smoke detector , carbon monoxide detector , first aid kit , safety card ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , private entrance , hot water , bed linens , extra pillows and blankets , ethernet connection .",189,0.267223016710598,0.242370074531457,"doc4",19,10,10,7,7,12,0,98,3,2,6,0,60,1,0,13,2
"New York",13922884,TRUE,2017-04-28,1,TRUE,TRUE,"Midtown East",FALSE,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",205,1,0,2,1125,TRUE,47,96,10,"strict_14_with_grace_period",2.37,65877818,"amazing luxurious chic one bed room with balcony in midtown east.  one of the best locations in town.  couple of blocks from the un.  this renovated apt is located in a boutique building facing a garden.  in the apartment  hardwood floor high speed internet flat screen cable tv and super fast wifi balcony facing a garden washerdryer dishwasher modern living room luxurious mattress fully equipped kitchen high ceilings we supply bedding,  linen,  and fresh towels un is couple of blocks away.  6e trains a few blocks away.,tv, cable tv ,wifi, air conditioning ,kitchen,heating,washer,dryer,essentials,hangers, hair dryer ,iron, laptop friendly workspace , roomdarkening shades , hot water , bed linens ,microwave, coffee maker ,refrigerator,dishwasher, dishes and silverware , cooking basics ,oven,stove, patio or balcony , long term stays allowed .",130,0.455215306037139,0.326268719352795,"doc5",18,9,4,2,4,7,0,71,3,0,2,0,34,0,0,10,0
"New York",20737322,FALSE,2017-01-08,1,TRUE,FALSE,"Upper East Side",TRUE,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",120,1,0,1,12,TRUE,10,100,10,"flexible",1.62,65877818,"this is my full time home,  and l love to share it when im out of town! its in an amazing location between lexington and park avenue in an elevator building.   1 minute away from the 86th street subway,  10 minutes from the met and central park,  and above all,  a very quiet building and street!  you can really get anywhere in the city from this location,  and having lived in nyc for 8 years,  this is the quietest and cleanest apartment i have lived in.  hope you enjoy your stay! this is a second floor,  north facing studio apartment.  clean,  bright,  and close to museum mile,  shopping,  and transportation! elevator is available,  or feel free to walk up the stairs.    full size bed,  comfy sofa,  and full bathroom.  free reign of the entire studio apartment wifi,  and full cable and internet,  with hbo,  showtime,  netflix,  and hulu.  im available to drop off keys or arrange pick ups.  easily accessible by phone or email! close to shopping,  restaurants,  and bars.   extremely convenient,  with two grocery,tv,wifi, air conditioning ,kitchen,elevator,heating, smoke detector , carbon monoxide detector ,essentials,shampoo, lock on bedroom door , hair dryer .",192,0.158257207006027,0.263503979628583,"doc6",24,21,10,11,17,11,0,72,4,3,13,0,48,0,0,12,0
"New York",10607447,FALSE,2016-06-28,6,TRUE,FALSE,"Midtown East",TRUE,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1,0,30,180,TRUE,11,95,10,"strict_14_with_grace_period",0.45,65877818,"this beautiful apartment is close to bloomingdales,  museum mile,  all transportation. . . . whole foods market one block away.  the apartment is clean and beautiful and bright,  great ambiance,  amazing neighborhood,  good for couples,  solo adventurers,  and business travelers.  smoking is strictly forbidden in the building.  your apartment unit is clean and bright and quiet.  you will enjoy space to work or relax from busy days in new york.  no smoking on property for your comfort.  since the apartment is fully yours you will have total privacy.  come and go as you please and enjoy the serenity of living in your own space.  we are available in the building during weekdays from 10 am to 5 pm  feel free to contact us to discuss any apartment requirements.  our neighborhood is close to central park and also the east river where you can relax and enjoy the breeze.  whole foods market is one block away.   many restaurants,  bars,  gyms and parks are nearby to enjoy.  we are surrounded by public transport most s,tv,internet,wifi, air conditioning ,kitchen, paid parking off premises , buzzerwireless intercom ,heating, familykid friendly ,washer,dryer, smoke detector , carbon monoxide detector ,essentials,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity50 , self checkin ,lockbox, hot water .",207,0.330577498180642,0.206177602080357,"doc7",32,15,7,13,11,11,1,78,5,4,12,0,48,3,0,16,0
"New York",31755016,FALSE,2014-12-21,3,TRUE,FALSE,"Kips Bay",TRUE,"Apartment","Private room",1,1,1,1,"Real Bed",115,1,30,1,29,TRUE,6,90,9,"flexible",6,65877818,"good people only.  big apartmentprivate roomshared bath in the heart of the city with a kind host.  breakfast type amenities are always available.  would love to have you here and send you back home with a smile.   the patio is not part of the apartment thus using sparingly  the walls are not the thickest thus we want silence in the house after 1000 pm for others to sleep,    no alcohol,  smoking in the apartment  no meatfishegg products you can access the whole apartment.  you have access to using the kitchen and eating whatever you like in it.  we prefer 247  just text or call and i will be with yah.  its in the heart of the city thus you are all set to get anywhere in no time 5 minutes walk from the station we use the profits from the guest rooms here to provide hot meals for homeless people on the streets of new york city.  since the money you give us for your stay is financing the meal distribution program,  just by staying here,  youre already helping to support this program.  but,tv,wifi, air conditioning ,kitchen,breakfast,heating, smoke detector , carbon monoxide detector , fire extinguisher ,essentials,shampoo, hair dryer ,iron, laptop friendly workspace , private entrance .",205,0.192537848225142,0.197739158364853,"doc8",12,21,16,10,5,25,0,70,3,6,17,0,29,3,0,21,0
"New York",10480551,TRUE,2010-12-27,2,TRUE,TRUE,"Lower East Side",TRUE,"Apartment","Private room",4,1,1,1,"Real Bed",69,1,25,1,1125,TRUE,10,96,10,"strict_14_with_grace_period",0.33,65877818,"important note please do not make a reservation until we have had some communication and i have confirmed the requested dates  thank you so much  thank you for reading  located very close to various subway trains you are surrounded by all the best stuff that downtown has to offer shopping,  food,  live music,  coffee shops,  nightlife,  art. .  all within reach.  the apartment is modern,  spacious and clean with contemporary furnishings,  appliances,  wifi,  full kitchen w dining table,  bath.,wifi, air conditioning ,kitchen,heating, smoke detector , carbon monoxide detector , first aid kit ,essentials,shampoo,hangers, hair dryer ,iron, laptop friendly workspace , translation missing en.hostingamenity49 , translation missing en.hostingamenity50 .",108,0.429152490995377,0.442831459389874,"doc9",14,4,3,5,2,7,1,46,2,2,8,0,29,2,0,12,0
"Queens",20506817,FALSE,2018-05-20,11,TRUE,FALSE,"Jackson Heights",TRUE,"Apartment","Shared room",1,1,1,1,"Real Bed",15,1,0,1,14,TRUE,12,87,9,"flexible",3.33,25466516,"spacious apt for airline crews and city visitors ready for your immediate and longterm use.   this is shared living space where all can share experiences and socialize with other fellow travelers.   for people 16 years and older apartment is located approximately 20 min car ride to manhattan traffic depending,  and approximately 40 minutes via public transportation.  spacious apt for airline crews and city visitors ready for your immediate and longterm use.   this is shared living space where all can share experiences and socialize with other fellow travelers.   for people 16 years and older apartment is located approximately 20 min car ride to manhattan traffic depending,  and approximately 40 minutes via public transportation.  easy self checkin is available 247,  i will send you detailed instructions after booking.  nestled in one of the melting pots of queens,  jackson heights bodes well for the traveler who wants a taste of everything.   with all types of diverse environme,wifi, air conditioning ,kitchen,heating, smoke detector , carbon monoxide detector ,hangers, laptop friendly workspace .",161,0.223035261326549,0.266559974872404,"doc10",23,20,10,8,10,4,0,63,8,0,9,0,21,0,0,13,0
