"word","n"
"kitchen",1758
"detector",1563
"apartment",1534
"tv",1271
"wifi",1246
"bedroom",1244
"dryer",1194
"friendly",1039
"air",1008
"heating",976
"bed",971
"essentials",947
"conditioning",920
"smoke",885
"hangers",803
"shampoo",773
"hair",729
"private",728
"iron",689
"carbon",687
"monoxide",687
"laptop",656
"workspace",654
"access",630
"living",630
"street",625
"parking",595
"2",591
"allowed",589
"hot",589
"building",566
"water",560
"restaurants",552
"park",547
"subway",528
"walk",523
"located",513
"bathroom",512
"free",508
"door",498
"manhattan",485
"washer",475
"space",464
"elevator",463
"1",445
"internet",445
"central",425
"coffee",418
"lock",417
"city",401
"square",395
"cable",386
"neighborhood",384
"floor",383
"checkin",377
"microwave",377
"fire",374
"refrigerator",372
"linens",360
"extinguisher",359
"missing",355
"translation",355
"close",351
"quiet",350
"train",350
"home",346
"east",339
"minutes",334
"guests",333
"aid",327
"familykid",323
"kit",322
"nyc",322
"stove",322
"blocks",318
"cooking",317
"dishes",314
"location",308
"3",307
"oven",307
"clean",306
"entrance",301
"stay",301
"beautiful",300
"silverware",297
"extra",288
"size",287
"wide",282
"maker",280
"bars",277
"spacious",277
"queen",275
"walking",273
"5",270
"host",269
"intercom",268
"basics",265
"buzzerwireless",262
"premises",258
"york",256
"heart",255
"block",249
"distance",245
"station",241
"village",240
"stays",238
"comfortable",236
"term",234
"stepfree",230
"pillows",221
"enjoy",218
"min",217
"greets",216
"blankets",214
"west",211
"paid",209
"times",209
"pets",208
"cozy",201
"en.hostingamenity50",199
"luggage",197
"studio",193
"time",193
"minute",192
"dishwasher",190
"shared",184
"closet",183
"dropoff",173
"guest",172
"steps",170
"perfect",169
"safe",169
"apt",163
"feel",160
"lines",159
"live",159
"midtown",159
"people",158
"trains",157
"en.hostingamenity49",156
"light",156
"renovated",154
"10",153
"center",151
"dining",150
"equipped",150
"entire",149
"bedrooms",148
"laundry",147
"4",146
"easy",145
"modern",145
"shops",144
"doorman",142
"furnished",140
"shower",139
"gym",138
"upper",138
"shopping",137
"6",133
"bus",133
"towels",132
"windows",132
"breakfast",129
"amazing",128
"lockbox",126
"table",126
"lots",125
"love",125
"day",124
"mins",123
"house",122
"youll",122
"sofa",121
"safety",120
"soho",120
"card",119
"24hour",116
"flat",116
"plenty",116
"im",114
"path",114
"balcony",113
"transportation",113
"nice",112
"river",111
"clearance",110
"harlem",110
"doorway",109
"views",109
"20",108
"bath",108
"convenient",108
"airbnb",106
"including",105
"15",104
"appliances",103
"beds",102
"bathtub",99
"floors",99
"mattress",98
"features",97
"amenities",96
"couch",96
"local",96
"major",96
"stores",95
"ac",94
"share",93
"museum",92
"questions",92
"short",92
"night",91
"st",91
"ceilings",90
"desk",90
"downtown",90
"line",90
"phone",90
"broadway",89
"garden",89
"unit",88
"food",86
"nearby",86
"view",86
"accessible",85
"front",85
"newly",85
"offer",85
"super",85
"7",84
"accessibleheight",84
"bright",84
"toilet",84
"airport",83
"huge",83
"provided",83
"includes",82
"lower",82
"ride",82
"travelers",82
"avenue",81
"natural",81
"cafes",80
"provide",79
"happy",78
"property",77
"stop",77
"art",76
"brand",76
"corner",76
"public",76
"tub",76
"bathrooms",75
"common",75
"subways",75
"24",74
"person",74
"district",73
"separate",73
"single",73
"attractions",72
"backyard",72
"experience",72
"grand",72
"historic",72
"note",72
"queens",72
"text",72
"business",71
"chair",71
"luxury",71
"union",71
"welllit",71
"window",71
"couples",70
"charming",69
"sunny",69
"2nd",68
"ave",68
"lovely",67
"sized",67
"jfk",66
"privacy",66
"astoria",65
"comfy",65
"smoking",65
"columbia",64
"fresh",64
"hardwood",64
"patio",64
"buses",63
"empire",63
"level",63
"lot",63
"rooftop",63
"screen",63
"stairs",63
"top",62
"check",61
"hudson",61
"netflix",61
"brick",60
"conveniently",60
"express",59
"sleeps",59
"30",58
"connection",58
"fireplace",58
"furniture",58
"hallway",57
"master",57
"brooklyn",56
"family",56
"included",56
"sleep",56
"staff",56
"couple",55
"grocery",54
"ny",54
"sheets",54
"tons",54
"walkup",54
"chelsea",53
"comfortably",53
"famous",53
"hidden",53
"rent",53
"theater",53
"youre",53
"12",52
"parks",52
"chinatown",51
"loft",51
"smart",51
"solo",51
"cleaning",50
"crib",50
"email",50
"surrounded",50
"town",50
"5th",49
"keypad",49
"neighborhoods",49
"unique",49
"wheelchair",49
"world",49
"cool",48
"keys",48
"speed",48
"terrace",48
"dresser",47
"ethernet",47
"hells",47
"hour",47
"prime",47
"service",47
"staying",47
"university",47
"gorgeous",46
"indoor",46
"museums",46
"restaurant",46
"additional",45
"classic",45
"exposed",45
"madison",45
"relax",45
"cook",44
"facing",44
"fridge",44
"king",44
"south",44
"stops",44
"decorated",43
"double",43
"galleries",43
"sunlight",43
"wall",43
"wireless",43
"adventurers",42
"cats",42
"dont",42
"ideal",42
"rest",42
"store",42
"call",41
"hotel",41
"prewar",41
"sq",41
"washington",41
"247",40
"contact",40
"main",40
"middle",40
"outdoor",40
"roof",40
"streets",40
"walls",40
"8",39
"bike",39
"brownstone",39
"conditioner",39
"families",39
"north",39
"shades",39
"storage",39
"true",39
"washerdryer",39
"entryway",38
"half",38
"machine",38
"real",38
"riverside",38
"tea",38
"toaster",38
"utensils",38
"visit",38
"accommodate",37
"book",37
"closets",37
"hours",37
"italy",37
"4th",36
"comfort",36
"downstairs",36
"explore",36
"offers",36
"pool",36
"situated",36
"supermarket",36
"supermarkets",36
"anytime",35
"bar",35
"basement",35
"booking",35
"fast",35
"friends",35
"heights",35
"lga",35
"personal",35
"relaxing",35
"roomdarkening",35
"stocked",35
"trendy",35
"twin",35
"warm",35
"ceiling",34
"deck",34
"enter",34
"extremely",34
"noise",34
"peaceful",34
"citys",33
"days",33
"easily",33
"fun",33
"nightlife",33
"quick",33
"read",33
"residential",33
"set",33
"stations",33
